Classifier,Feature Selection Method,Class,Accuracy,TPR,FPR,Precision,Recall,F Score,MCC,ROC,TN,FP,FN,TP
Ada Boost,Correlation Feature Selection,Heart Attack = 1,0.9448800364818548,0.9984373785275596,0.0015626214724403,0.9462651596646086,0.9984373785275596,0.971651434451035,0.0174329856701982,0.4684715994888354,128429,201,7293,35
Ada Boost,Correlation Feature Selection,Heart Attack = 2,0.9448800364818548,0.0047762008733624,0.9952237991266376,0.1483050847457627,0.0047762008733624,0.0092543627710206,0.0174329856701982,0.4684715994888354,128429,201,7293,35
Ada Boost,Correlation Feature Selection,Weighted,0.9448800364818548,0.9448800364818548,0.0551199635181453,0.9032559110068958,0.9448800364818548,0.9197791963975837,0.0174329856701982,0.4684715994888354,128429,201,7293,35
Ada Boost,F Score Feature Selection,Heart Attack = 1,0.9430485885346944,0.9963461089947911,0.0036538910052087,0.9462981695746236,0.9963461089947911,0.9706774519716886,0.0140235988026109,0.577439120452963,128160,470,7273,55
Ada Boost,F Score Feature Selection,Heart Attack = 2,0.9430485885346944,0.0075054585152838,0.9924945414847162,0.1047619047619047,0.0075054585152838,0.0140073857124665,0.0140235988026109,0.577439120452963,128160,470,7273,55
Ada Boost,F Score Feature Selection,Weighted,0.9430485885346944,0.9430485885346944,0.0569514114653054,0.9009402079353852,0.9430485885346944,0.9191138937732186,0.0140235988026109,0.577439120452963,128160,470,7273,55
Ada Boost,Forward SFS,Heart Attack = 1,0.9455567160446608,0.9993003187436834,0.0006996812563165,0.9461767217265848,0.9993003187436834,0.9720132182908476,0.0120041464979005,0.6815318505406489,128540,90,7312,16
Ada Boost,Forward SFS,Heart Attack = 2,0.9455567160446608,0.0021834061135371,0.9978165938864628,0.1509433962264151,0.0021834061135371,0.004304546677428,0.0120041464979005,0.6815318505406489,128540,90,7312,16
Ada Boost,Forward SFS,Weighted,0.9455567160446608,0.9455567160446608,0.0544432839553391,0.9033144421309358,0.9455567160446608,0.91985469032204,0.0120041464979005,0.6815318505406488,128540,90,7312,16
Ada Boost,RFE Feature Selection,Heart Attack = 1,0.938444225422557,0.9908030785975278,0.0091969214024721,0.9466252701789308,0.9908030785975278,0.9682104967276072,0.0234025081626199,0.658781223085102,127447,1183,7186,142
Ada Boost,RFE Feature Selection,Heart Attack = 2,0.938444225422557,0.0193777292576419,0.980622270742358,0.1071698113207547,0.0193777292576419,0.0328209869409453,0.0234025081626199,0.658781223085102,127447,1183,7186,142
