Classifier,Feature Selection Method,Class,Accuracy,TPR,FPR,Precision,Recall,F Score,MCC,ROC,TN,FP,FN,TP
Ada Boost,Correlation Feature Selection,Heart Attack = 1,0.9453066388149282,0.9989116069346188,0.0010883930653813,0.9462683929123769,0.9989116069346188,0.97187764734358,0.0208274750851473,0.5580132000546912,128490,140,7296,32
Ada Boost,Correlation Feature Selection,Heart Attack = 2,0.9453066388149282,0.0043668122270742,0.9956331877729258,0.1860465116279069,0.0043668122270742,0.0085333333333333,0.0208274750851473,0.5580132000546912,128490,140,7296,32
Ada Boost,Correlation Feature Selection,Weighted,0.9453066388149282,0.9453066388149282,0.0546933611850718,0.9052931950861908,0.9453066388149282,0.9199543538774574,0.0208274750851473,0.5580132000546912,128490,140,7296,32
Ada Boost,F Score Feature Selection,Heart Attack = 1,0.9429676811956632,0.996206172743528,0.003793827256472,0.9463399503722084,0.996206172743528,0.9706330149448184,0.0166029857597424,0.57953645724238,128142,488,7266,62
Ada Boost,F Score Feature Selection,Heart Attack = 2,0.9429676811956632,0.0084606986899563,0.9915393013100436,0.1127272727272727,0.0084606986899563,0.0157400355420157,0.0166029857597424,0.57953645724238,128142,488,7266,62
Ada Boost,F Score Feature Selection,Weighted,0.9429676811956632,0.9429676811956632,0.0570323188043366,0.9014090621436224,0.9429676811956632,0.9191652399476596,0.0166029857597424,0.57953645724238,128142,488,7266,62
Ada Boost,Forward SFS,Heart Attack = 1,0.9448064843554628,0.998421830055197,0.0015781699448029,0.946208593657904,0.998421830055197,0.9716142503726006,0.0115742057097898,0.7017204194769058,128427,203,7301,27
Ada Boost,Forward SFS,Heart Attack = 2,0.9448064843554628,0.0036844978165938,0.996315502183406,0.117391304347826,0.0036844978165938,0.0071447472876422,0.0115742057097898,0.7017204194769058,128427,203,7301,27
Ada Boost,Forward SFS,Weighted,0.9448064843554628,0.9448064843554628,0.0551935156445373,0.9015361720566428,0.9448064843554628,0.9196303103425432,0.0115742057097898,0.7017204194769058,128427,203,7301,27
Ada Boost,RFE Feature Selection,Heart Attack = 1,0.944887391694494,0.9982818938039336,0.0017181061960662,0.946403696906715,0.9982818938039336,0.9716508204350178,0.0296664762641541,0.6655576305358758,128409,221,7272,56
Ada Boost,RFE Feature Selection,Heart Attack = 2,0.944887391694494,0.0076419213973799,0.99235807860262,0.2021660649819494,0.0076419213973799,0.0147271531886916,0.0296664762641541,0.6655576305358758,128409,221,7272,56
Ada Boost,RFE Feature Selection,Weighted,0.944887391694494,0.944887391694494,0.0551126083055061,0.9062900341083164,0.944887391694494,0.9200735933973953,0.0296664762641541,0.6655576305358758,128409,221,7272,56
Ada Boost,Select from Model Feature Selection,Heart Attack = 1,0.934678356551288,0.9860452460545752,0.0139547539454248,0.9470882087200664,0.9860452460545752,0.9661741909190976,0.0354468729992084,0.704782580563493,126835,1795,7086,242
Ada Boost,Select from Model Feature Selection,Heart Attack = 2,0.934678356551288,0.0330240174672489,0.9669759825327512,0.1188021600392734,0.0330240174672489,0.0516817939135077,0.0354468729992084,0.704782580563493,126835,1795,7086,242
Ada Boost,Select from Model Feature Selection,Weighted,0.934678356551288,0.934678356551288,0.0653216434487121,0.9024444204565376,0.934678356551288,0.9168839668406544,0.0354468729992084,0.7047825805634931,126835,1795,7086,242
Decision Tree,Correlation Feature Selection,Heart Attack = 1,0.4559055002280116,0.4524216745704734,0.5475783254295266,0.9426734052548028,0.4524216745704734,0.6114076190876426,-0.0138426942725515,0.4847195207718084,58195,70435,3539,3789
Decision Tree,Correlation Feature Selection,Heart Attack = 2,0.4559055002280116,0.5170578602620087,0.4829421397379912,0.0510481784867428,0.5170578602620087,0.0929223072395526,-0.0138426942725515,0.4847195207718084,58195,70435,3539,3789
Decision Tree,Correlation Feature Selection,Weighted,0.4559055002280116,0.4559055002280116,0.5440944997719884,0.8946156987442897,0.4559055002280116,0.5834617801872263,-0.0138426942725515,0.4847195207718084,58195,70435,3539,3789
Decision Tree,F Score Feature Selection,Heart Attack = 1,0.3796834316480089,0.376825001943559,0.6231749980564409,0.9206442667477064,0.376825001943559,0.5347668510969279,-0.0896174757506008,0.403344195692462,48471,80159,4178,3150
Decision Tree,F Score Feature Selection,Heart Attack = 2,0.3796834316480089,0.4298580786026201,0.57014192139738,0.0378110408239205,0.4298580786026201,0.0695080375564063,-0.0896174757506008,0.403344195692462,48471,80159,4178,3150
Decision Tree,F Score Feature Selection,Weighted,0.3796834316480089,0.3796834316480089,0.620316568351991,0.8730604402750495,0.3796834316480089,0.5096898671340501,-0.0896174757506008,0.403344195692462,48471,80159,4178,3150
Decision Tree,Forward SFS,Heart Attack = 1,0.2215022286294296,0.1972479203918215,0.8027520796081785,0.9075365740243946,0.1972479203918215,0.3240626616513503,-0.0868878775056788,0.4222429426740045,25372,103258,2585,4743
Decision Tree,Forward SFS,Heart Attack = 2,0.2215022286294296,0.6472434497816594,0.3527565502183406,0.0439162600346293,0.6472434497816594,0.0822516452930312,-0.0868878775056788,0.4222429426740045,25372,103258,2585,4743
Decision Tree,Forward SFS,Weighted,0.2215022286294296,0.2215022286294296,0.7784977713705703,0.8609883042578711,0.2215022286294296,0.3110292901110675,-0.0868878775056788,0.4222429426740045,25372,103258,2585,4743
Decision Tree,RFE Feature Selection,Heart Attack = 1,0.0694332073140234,0.0191401694783487,0.9808598305216512,0.8755334281650071,0.0191401694783487,0.0374613898145189,-0.045413992447611,0.4856881600462312,2462,126168,350,6978
Decision Tree,RFE Feature Selection,Heart Attack = 2,0.0694332073140234,0.9522379912663756,0.0477620087336244,0.0524086341309539,0.9522379912663756,0.0993493457864088,-0.045413992447611,0.4856881600462312,2462,126168,350,6978
Decision Tree,RFE Feature Selection,Weighted,0.0694332073140234,0.0694332073140234,0.9305667926859764,0.8311678263564961,0.0694332073140234,0.0407970886432896,-0.045413992447611,0.4856881600462313,2462,126168,350,6978
